feature,bin,woe,coefficient,points
BASE_SCORE,,,,600.04
grade,['A'],1.342944,-0.551373,21.37
grade,['B'],0.501393,-0.551373,7.98
grade,['C'],-0.124248,-0.551373,-1.98
grade,['D'],-0.549685,-0.551373,-8.75
grade,['E' 'F'],-1.004605,-0.551373,-15.98
grade,['G'],-1.357296,-0.551373,-21.59
term,"(-inf, 48.00)",0.336202,-0.612288,5.94
term,"[48.00, inf)",-0.729207,-0.612288,-12.88
loan_to_income,"(-inf, 0.07)",0.578404,-0.360952,6.02
loan_to_income,"[0.07, 0.12)",0.438379,-0.360952,4.57
loan_to_income,"[0.12, 0.16)",0.311858,-0.360952,3.25
loan_to_income,"[0.16, 0.19)",0.182204,-0.360952,1.9
loan_to_income,"[0.19, 0.24)",0.040161,-0.360952,0.42
loan_to_income,"[0.24, 0.26)",-0.084214,-0.360952,-0.88
loan_to_income,"[0.26, 0.30)",-0.179926,-0.360952,-1.87
loan_to_income,"[0.30, 0.33)",-0.336166,-0.360952,-3.5
loan_to_income,"[0.33, 0.40)",-0.478265,-0.360952,-4.98
loan_to_income,"[0.40, inf)",-0.574029,-0.360952,-5.98
fico_range_low,"(-inf, 662.50)",-0.375211,-0.310586,-3.36
fico_range_low,"[662.50, 672.50)",-0.288656,-0.310586,-2.59
fico_range_low,"[672.50, 682.50)",-0.196652,-0.310586,-1.76
fico_range_low,"[682.50, 687.50)",-0.091637,-0.310586,-0.82
fico_range_low,"[687.50, 697.50)",-0.012939,-0.310586,-0.12
fico_range_low,"[697.50, 707.50)",0.127119,-0.310586,1.14
fico_range_low,"[707.50, 717.50)",0.281096,-0.310586,2.52
fico_range_low,"[717.50, 727.50)",0.407042,-0.310586,3.65
fico_range_low,"[727.50, 752.50)",0.601816,-0.310586,5.39
fico_range_low,"[752.50, inf)",1.053575,-0.310586,9.44
acc_open_past_24mths,"(-inf, 1.50)",0.442666,-0.561992,7.18
acc_open_past_24mths,"[1.50, 2.50)",0.284278,-0.561992,4.61
acc_open_past_24mths,"[2.50, 3.50)",0.133623,-0.561992,2.17
acc_open_past_24mths,"[3.50, 4.50)",0.08713,-0.561992,1.41
acc_open_past_24mths,"[4.50, 5.50)",-0.087639,-0.561992,-1.42
acc_open_past_24mths,"[5.50, 6.50)",-0.18491,-0.561992,-3.0
acc_open_past_24mths,"[6.50, 7.50)",-0.272947,-0.561992,-4.43
acc_open_past_24mths,"[7.50, 9.50)",-0.388503,-0.561992,-6.3
acc_open_past_24mths,"[9.50, inf)",-0.579335,-0.561992,-9.39
dti,"(-inf, 7.24)",0.421164,-0.322694,3.92
dti,"[7.24, 8.99)",0.353145,-0.322694,3.29
dti,"[8.99, 12.36)",0.278506,-0.322694,2.59
dti,"[12.36, 14.55)",0.194258,-0.322694,1.81
dti,"[14.55, 17.13)",0.102012,-0.322694,0.95
dti,"[17.13, 19.27)",0.016675,-0.322694,0.16
dti,"[19.27, 21.04)",-0.040171,-0.322694,-0.37
dti,"[21.04, 25.05)",-0.138938,-0.322694,-1.29
dti,"[25.05, 30.12)",-0.280909,-0.322694,-2.62
dti,"[30.12, inf)",-0.532509,-0.322694,-4.96
bc_open_to_buy,"(-inf, 150.50)",-0.358936,-0.342273,-3.54
bc_open_to_buy,"[150.50, 901.50)",-0.217522,-0.342273,-2.15
bc_open_to_buy,"[901.50, 2842.50)",-0.148393,-0.342273,-1.47
bc_open_to_buy,"[2842.50, 4674.50)",-0.075566,-0.342273,-0.75
bc_open_to_buy,"[4674.50, 8644.50)",0.073167,-0.342273,0.72
bc_open_to_buy,"[8644.50, 10883.50)",0.115288,-0.342273,1.14
bc_open_to_buy,"[10883.50, 14336.50)",0.189588,-0.342273,1.87
bc_open_to_buy,"[14336.50, 19523.50)",0.241553,-0.342273,2.39
bc_open_to_buy,"[19523.50, 33422.50)",0.388001,-0.342273,3.83
bc_open_to_buy,"[33422.50, inf)",0.696968,-0.342273,6.88
verification_status,['Not Verified'],0.375067,-0.131371,1.42
verification_status,['Source Verified'],-0.091023,-0.131371,-0.35
verification_status,['Verified'],-0.179928,-0.131371,-0.68
avg_cur_bal,"(-inf, 3963.50)",-0.170573,-0.645087,-3.17
avg_cur_bal,"[3963.50, 5314.50)",-0.169708,-0.645087,-3.16
avg_cur_bal,"[5314.50, 7406.50)",-0.147018,-0.645087,-2.74
avg_cur_bal,"[7406.50, 13631.50)",0.034428,-0.645087,0.64
avg_cur_bal,"[13631.50, 18591.50)",0.079598,-0.645087,1.48
avg_cur_bal,"[18591.50, 22457.50)",0.148833,-0.645087,2.77
avg_cur_bal,"[22457.50, 27424.50)",0.244962,-0.645087,4.56
avg_cur_bal,"[27424.50, 37306.50)",0.343784,-0.645087,6.4
avg_cur_bal,"[37306.50, inf)",0.572273,-0.645087,10.65
mo_sin_rcnt_tl,"(-inf, 1.50)",-0.2871,-0.188691,-1.56
mo_sin_rcnt_tl,"[1.50, 2.50)",-0.214904,-0.188691,-1.17
mo_sin_rcnt_tl,"[2.50, 3.50)",-0.17264,-0.188691,-0.94
mo_sin_rcnt_tl,"[3.50, 4.50)",-0.100425,-0.188691,-0.55
mo_sin_rcnt_tl,"[4.50, 8.50)",0.042492,-0.188691,0.23
mo_sin_rcnt_tl,"[8.50, 10.50)",0.103483,-0.188691,0.56
mo_sin_rcnt_tl,"[10.50, 13.50)",0.14428,-0.188691,0.79
mo_sin_rcnt_tl,"[13.50, 21.50)",0.311143,-0.188691,1.69
mo_sin_rcnt_tl,"[21.50, inf)",0.500714,-0.188691,2.73
annual_inc,"(-inf, 37103.50)",-0.207616,-0.430298,-2.58
annual_inc,"[37103.50, 45636.50)",-0.158132,-0.430298,-1.96
annual_inc,"[45636.50, 50400.88)",-0.116373,-0.430298,-1.44
annual_inc,"[50400.88, 60995.50)",-0.091064,-0.430298,-1.13
annual_inc,"[60995.50, 70720.04)",-0.017678,-0.430298,-0.22
annual_inc,"[70720.04, 75495.50)",0.037723,-0.430298,0.47
annual_inc,"[75495.50, 85125.50)",0.079149,-0.430298,0.98
annual_inc,"[85125.50, 100220.00)",0.172613,-0.430298,2.14
annual_inc,"[100220.00, 127923.00)",0.272041,-0.430298,3.38
annual_inc,"[127923.00, inf)",0.373955,-0.430298,4.64
mths_since_recent_inq,"(-inf, 1.50)",-0.263615,-0.288418,-2.19
mths_since_recent_inq,"[1.50, 2.50)",-0.165476,-0.288418,-1.38
mths_since_recent_inq,"[2.50, 3.50)",-0.139984,-0.288418,-1.16
mths_since_recent_inq,"[3.50, 4.50)",-0.093277,-0.288418,-0.78
mths_since_recent_inq,"[4.50, 5.50)",0.239194,-0.288418,1.99
mths_since_recent_inq,"[5.50, inf)",0.081893,-0.288418,0.68
num_actv_rev_tl,"(-inf, 2.50)",0.238734,-0.130082,0.9
num_actv_rev_tl,"[2.50, 3.50)",0.162923,-0.130082,0.61
num_actv_rev_tl,"[3.50, 5.50)",0.087689,-0.130082,0.33
num_actv_rev_tl,"[5.50, 6.50)",-0.046064,-0.130082,-0.17
num_actv_rev_tl,"[6.50, 7.50)",-0.087053,-0.130082,-0.33
num_actv_rev_tl,"[7.50, 9.50)",-0.178301,-0.130082,-0.67
num_actv_rev_tl,"[9.50, 11.50)",-0.261477,-0.130082,-0.98
num_actv_rev_tl,"[11.50, inf)",-0.409403,-0.130082,-1.54
